semeval2015.d000.s000.t000 bn:00028015n
semeval2015.d002.s001.t014 bn:00021248n
semeval2015.d002.s001.t015 bn:00059480n
semeval2015.d002.s001.t016 bn:00114246r
semeval2015.d002.s001.t017 bn:00070651n
semeval2015.d002.s001.t018 bn:00079373n
semeval2015.d002.s002.t000 bn:00114784r
semeval2015.d002.s002.t001 bn:00102920a
semeval2015.d002.s002.t002 bn:00016408n
semeval2015.d002.s002.t003 bn:00092825v
semeval2015.d002.s002.t004 bn:00007011n
semeval2015.d002.s002.t005 bn:00089893v
semeval2015.d002.s002.t006 bn:00079373n
semeval2015.d002.s002.t007 bn:00070651n
semeval2015.d002.s002.t008 bn:00062795n
semeval2015.d002.s002.t009 bn:00030844n
semeval2015.d002.s002.t010 bn:00070651n
semeval2015.d002.s002.t011 bn:00064922n
semeval2015.d002.s002.t012 bn:00086708v
semeval2015.d002.s002.t013 bn:00116284r
semeval2015.d002.s002.t014 bn:00100093a
semeval2015.d002.s003.t000 bn:00058145n
semeval2015.d002.s003.t001 bn:00114246r
semeval2015.d002.s003.t002 bn:00027862n
semeval2015.d002.s003.t003 bn:00101350a
semeval2015.d002.s003.t004 bn:00068130n
semeval2015.d002.s003.t005 bn:00091709v
semeval2015.d002.s003.t006 bn:00109212a
semeval2015.d002.s003.t007 bn:00065083n
semeval2015.d002.s004.t000 bn:00036064n
semeval2015.d002.s004.t001 bn:00102440a
semeval2015.d002.s004.t002 bn:00021015n
semeval2015.d002.s004.t003 bn:00110978a
semeval2015.d002.s004.t004 bn:00055180n
semeval2015.d002.s004.t005 bn:00110842a
semeval2015.d002.s004.t006 bn:00001739n
semeval2015.d002.s004.t007 bn:00109624a
semeval2015.d002.s004.t008 bn:00007299n
semeval2015.d002.s004.t009 bn:00102440a
semeval2015.d002.s004.t010 bn:00021721n
semeval2015.d002.s004.t011 bn:00110842a
semeval2015.d002.s004.t012 bn:00032152n
semeval2015.d002.s004.t013 bn:00106333a
semeval2015.d002.s004.t014 bn:00017557n
semeval2015.d002.s004.t015 bn:00109212a
semeval2015.d002.s004.t016 bn:00065083n
semeval2015.d002.s004.t017 bn:00070651n
semeval2015.d002.s005.t000 bn:00036064n
semeval2015.d002.s005.t001 bn:00116085r
semeval2015.d002.s005.t002 bn:00092023v
semeval2015.d002.s005.t003 bn:00100121a
semeval2015.d002.s005.t004 bn:00067181n
semeval2015.d002.s005.t005 bn:00027912n
semeval2015.d002.s005.t006 bn:00064665n
semeval2015.d002.s005.t007 bn:00082720v
semeval2015.d002.s005.t008 bn:00032425n
semeval2015.d002.s005.t009 bn:00101412a
semeval2015.d002.s005.t010 bn:00030844n
semeval2015.d002.s005.t011 bn:00089511v
semeval2015.d002.s005.t012 bn:00030625n
semeval2015.d002.s005.t013 bn:00089667v
semeval2015.d002.s005.t014 bn:00037027n
semeval2015.d002.s006.t000 bn:00074790n
semeval2015.d002.s006.t001 bn:00083141v
semeval2015.d002.s006.t002 bn:00108489a
semeval2015.d002.s006.t003 bn:00047238n
semeval2015.d002.s006.t004 bn:00110401a
semeval2015.d002.s006.t005 bn:00036837n
semeval2015.d002.s006.t006 bn:00110842a
semeval2015.d002.s006.t007 bn:00067199n
semeval2015.d002.s006.t008 bn:00107137a
semeval2015.d002.s006.t009 bn:00041239n
semeval2015.d002.s006.t010 bn:00059480n
semeval2015.d002.s006.t011 bn:00095923a
semeval2015.d002.s006.t012 bn:00102440a
semeval2015.d002.s006.t013 bn:00023235n
semeval2015.d002.s007.t000 bn:00104680a
semeval2015.d002.s007.t001 bn:00104995a
semeval2015.d002.s007.t002 bn:00070206n
semeval2015.d002.s007.t003 bn:00054550n
semeval2015.d002.s007.t004 bn:00046576n
semeval2015.d002.s007.t005 bn:00008412n
semeval2015.d002.s007.t006 bn:00070206n
semeval2015.d002.s007.t007 bn:00114246r
semeval2015.d002.s007.t008 bn:00089661v
semeval2015.d002.s008.t000 bn:00073170n
semeval2015.d002.s008.t001 bn:00110842a
semeval2015.d002.s008.t002 bn:00032152n
semeval2015.d002.s008.t003 bn:00021721n
semeval2015.d002.s008.t004 bn:00050521n
semeval2015.d002.s008.t005 bn:00067808n
semeval2015.d002.s008.t006 bn:00030626n
semeval2015.d002.s008.t007 bn:00104995a
semeval2015.d002.s008.t008 bn:00025569n
semeval2015.d002.s008.t009 bn:00072527n
semeval2015.d002.s008.t010 bn:00011651n
semeval2015.d002.s008.t011 bn:00102440a
semeval2015.d002.s008.t012 bn:00021015n
semeval2015.d002.s008.t013 bn:00102158a
semeval2015.d002.s008.t014 bn:00021015n
semeval2015.d002.s008.t015 bn:00034004n
semeval2015.d002.s008.t016 bn:00102440a
semeval2015.d002.s008.t017 bn:00060708n
semeval2015.d002.s008.t018 bn:00079435n
semeval2015.d002.s008.t019 bn:00102440a
semeval2015.d002.s008.t020 bn:00060708n
semeval2015.d002.s008.t021 bn:00102001a
semeval2015.d002.s008.t022 bn:00110842a
semeval2015.d002.s008.t023 bn:00021015n
semeval2015.d002.s009.t000 bn:00016433n
semeval2015.d002.s009.t001 bn:00107137a
semeval2015.d002.s009.t002 bn:00067181n
semeval2015.d002.s009.t003 bn:00085499v
semeval2015.d002.s009.t004 bn:00063673n
semeval2015.d002.s009.t005 bn:00034797n
semeval2015.d002.s009.t006 bn:00090234v
semeval2015.d002.s009.t007 bn:00063329n
semeval2015.d002.s009.t008 bn:00061054n
semeval2015.d002.s009.t009 bn:00082573v
semeval2015.d002.s009.t010 bn:00030933n
semeval2015.d002.s009.t011 bn:00041853n
semeval2015.d002.s009.t012 bn:00026695n
semeval2015.d002.s009.t013 bn:00082449v
semeval2015.d002.s009.t014 bn:00081593n
semeval2015.d002.s009.t015 bn:00030625n
semeval2015.d002.s009.t016 bn:00062700n
semeval2015.d002.s009.t017 bn:00021248n
semeval2015.d002.s010.t000 bn:00023235n
semeval2015.d002.s010.t001 bn:00034797n
semeval2015.d002.s010.t002 bn:00084931v
semeval2015.d002.s010.t003 bn:00102794a
semeval2015.d002.s010.t004 bn:00026418n
semeval2015.d002.s010.t005 bn:00016433n
semeval2015.d002.s011.t000 bn:00016433n
semeval2015.d002.s011.t001 bn:00082597v
semeval2015.d002.s011.t002 bn:00007786n
semeval2015.d002.s011.t003 bn:00034797n
semeval2015.d002.s011.t004 bn:00046065n
semeval2015.d002.s011.t005 bn:00030626n
semeval2015.d002.s011.t006 bn:00061055n
semeval2015.d002.s011.t007 bn:00081568n
semeval2015.d002.s011.t008 bn:00001423n
semeval2015.d002.s011.t009 bn:00082720v
semeval2015.d002.s011.t010 bn:00009905n
semeval2015.d002.s011.t011 bn:00048242n
semeval2015.d002.s011.t012 bn:00034797n
semeval2015.d002.s012.t000 bn:00080113n
semeval2015.d002.s012.t001 bn:00047238n
semeval2015.d002.s012.t002 bn:00099258a
semeval2015.d002.s012.t003 bn:00035770n
semeval2015.d002.s012.t004 bn:00114246r
semeval2015.d002.s012.t005 bn:00094722v
semeval2015.d002.s013.t000 bn:00107137a
semeval2015.d002.s013.t001 bn:00074790n
semeval2015.d002.s013.t002 bn:00085670v
semeval2015.d002.s013.t003 bn:00008790n
semeval2015.d002.s013.t004 bn:00102440a
semeval2015.d002.s013.t005 bn:00067181n
semeval2015.d002.s013.t006 bn:00094713v
semeval2015.d002.s013.t007 bn:00108083a
semeval2015.d002.s013.t008 bn:00061054n
semeval2015.d002.s014.t000 bn:00067181n
semeval2015.d002.s014.t001 bn:00016435n
semeval2015.d002.s014.t002 bn:00034797n
semeval2015.d002.s014.t003 bn:00092023v
semeval2015.d002.s014.t004 bn:00084692v
semeval2015.d002.s014.t005 bn:00021721n
semeval2015.d002.s014.t006 bn:00082779v
semeval2015.d002.s014.t007 bn:00007406n
semeval2015.d002.s015.t000 bn:00036064n
semeval2015.d002.s015.t001 bn:00082486v
semeval2015.d002.s015.t002 bn:00087137v
semeval2015.d002.s015.t003 bn:00017762n
semeval2015.d002.s015.t004 bn:00001936n
semeval2015.d002.s015.t005 bn:00008714n
semeval2015.d002.s015.t006 bn:00014138n
semeval2015.d002.s015.t007 bn:00030933n
semeval2015.d002.s015.t008 bn:00041853n
semeval2015.d002.s015.t009 bn:00082597v
semeval2015.d002.s015.t010 bn:00016850n
semeval2015.d002.s016.t000 bn:00061746n
semeval2015.d002.s016.t001 bn:00110842a
semeval2015.d002.s016.t002 bn:00114246r
semeval2015.d002.s016.t003 bn:00082596v
semeval2015.d002.s016.t004 bn:00102398a
semeval2015.d002.s016.t005 bn:00007020n
semeval2015.d002.s016.t006 bn:00088817v
semeval2015.d002.s016.t007 bn:00064776n
semeval2015.d002.s016.t008 bn:00088783v
semeval2015.d002.s016.t009 bn:00001936n
semeval2015.d002.s016.t010 bn:00008714n
semeval2015.d002.s017.t000 bn:00117283r
semeval2015.d002.s017.t001 bn:00064665n
semeval2015.d002.s017.t002 bn:00082720v
semeval2015.d002.s017.t003 bn:00034797n
semeval2015.d002.s017.t004 bn:00109212a
semeval2015.d002.s017.t005 bn:00104973a
semeval2015.d002.s017.t006 bn:00070206n
semeval2015.d002.s017.t007 bn:00001936n
semeval2015.d002.s017.t008 bn:00008714n
semeval2015.d002.s017.t009 bn:00115235r
semeval2015.d002.s017.t010 bn:00107786a
semeval2015.d002.s017.t011 bn:00081593n
semeval2015.d002.s018.t000 bn:00090460v
semeval2015.d002.s018.t001 bn:00003132n
semeval2015.d002.s018.t002 bn:00101935a
semeval2015.d002.s018.t003 bn:00067456n
semeval2015.d002.s018.t004 bn:00066743n
semeval2015.d002.s018.t005 bn:00064665n
semeval2015.d002.s018.t006 bn:00114714r
semeval2015.d002.s018.t007 bn:00083240v
semeval2015.d002.s018.t008 bn:00044396n
semeval2015.d002.s018.t009 bn:00092717v
semeval2015.d002.s018.t010 bn:00092954v
semeval2015.d002.s018.t011 bn:00107786a
semeval2015.d002.s018.t012 bn:00081593n
semeval2015.d002.s019.t000 bn:00037634n
semeval2015.d002.s019.t001 bn:00100762a
semeval2015.d002.s019.t002 bn:00007781n
semeval2015.d002.s019.t003 bn:00081593n
semeval2015.d002.s019.t004 bn:00082868v
semeval2015.d002.s019.t005 bn:00001936n
semeval2015.d002.s019.t006 bn:00027538n
semeval2015.d002.s019.t007 bn:00082596v
semeval2015.d002.s020.t000 bn:00064665n
semeval2015.d002.s020.t001 bn:00114246r
semeval2015.d002.s020.t002 bn:00085651v
semeval2015.d002.s020.t003 bn:00034797n
semeval2015.d002.s020.t004 bn:00001936n
semeval2015.d002.s020.t005 bn:00027538n
semeval2015.d002.s020.t006 bn:00023237n
semeval2015.d002.s020.t007 bn:00106773a
semeval2015.d002.s020.t008 bn:00031008n
semeval2015.d002.s021.t000 bn:00054277n
semeval2015.d002.s021.t001 bn:00023236n
semeval2015.d002.s021.t002 bn:00085497v
semeval2015.d002.s021.t003 bn:00064665n
semeval2015.d002.s021.t004 bn:00112908a
semeval2015.d002.s021.t005 bn:00049168n
semeval2015.d003.s000.t000 bn:00028015n
semeval2015.d003.s000.t001 bn:00075142n
semeval2015.d003.s000.t002 bn:00102440a
semeval2015.d003.s000.t003 bn:00109211a
semeval2015.d003.s000.t004 bn:00005120n
semeval2015.d003.s000.t005 bn:00067181n
semeval2015.d003.s001.t000 bn:00087870v
semeval2015.d003.s001.t001 bn:00021015n
semeval2015.d003.s001.t002 bn:00106556a
semeval2015.d003.s001.t003 bn:00064584n
semeval2015.d003.s001.t004 bn:00079883n
semeval2015.d003.s001.t005 bn:00030627n
semeval2015.d003.s001.t006 bn:00082720v
semeval2015.d003.s001.t007 bn:00074790n
semeval2015.d003.s001.t008 bn:00087107v
semeval2015.d003.s001.t009 bn:00088789v
semeval2015.d003.s001.t010 bn:00066562n
semeval2015.d003.s001.t011 bn:00082705v
semeval2015.d003.s001.t012 bn:00054128n
semeval2015.d003.s003.t000 bn:00085499v
semeval2015.d003.s003.t001 bn:00096387a
semeval2015.d003.s003.t002 bn:00074985n
semeval2015.d003.s003.t003 bn:00097846a
semeval2015.d003.s003.t004 bn:00052222n
semeval2015.d003.s003.t005 bn:00072760n
semeval2015.d003.s003.t006 bn:00046787n
semeval2015.d003.s004.t000 bn:00052222n
semeval2015.d003.s004.t001 bn:00089240v
semeval2015.d003.s004.t002 bn:00069754n
semeval2015.d003.s004.t003 bn:00023645n
semeval2015.d003.s004.t004 bn:00071433n
semeval2015.d003.s004.t005 bn:00117049r
semeval2015.d003.s004.t006 bn:00089157v
semeval2015.d003.s005.t000 bn:00052222n
semeval2015.d003.s005.t001 bn:00090663v
semeval2015.d003.s005.t002 bn:00051872n
semeval2015.d003.s005.t003 bn:00071433n
semeval2015.d003.s005.t004 bn:00003057n
semeval2015.d003.s005.t005 bn:00003603n
semeval2015.d003.s005.t006 bn:00108011a
semeval2015.d003.s005.t007 bn:00071433n
semeval2015.d003.s006.t000 bn:00082705v
semeval2015.d003.s007.t000 bn:00004656n
semeval2015.d003.s007.t001 bn:00089805v
semeval2015.d003.s007.t002 bn:00094398v
semeval2015.d003.s007.t003 bn:00083115v
semeval2015.d003.s008.t000 bn:00082705v
semeval2015.d003.s008.t001 bn:00015267n
semeval2015.d003.s008.t002 bn:00088454v
semeval2015.d003.s008.t003 bn:00083115v
semeval2015.d003.s008.t004 bn:00083115v
semeval2015.d003.s008.t005 bn:00084699v
semeval2015.d003.s008.t006 bn:00018141n
semeval2015.d003.s008.t007 bn:00054128n
semeval2015.d003.s008.t008 bn:00082705v
semeval2015.d003.s008.t009 bn:00047235n
semeval2015.d003.s008.t010 bn:00015180n
semeval2015.d003.s008.t011 bn:00090142v
semeval2015.d003.s008.t012 bn:00084699v
semeval2015.d003.s008.t013 bn:00083115v
semeval2015.d003.s009.t000 bn:00020872n
semeval2015.d003.s009.t001 bn:00111492a
semeval2015.d003.s009.t002 bn:00054018n
semeval2015.d003.s009.t003 bn:00108011a
semeval2015.d003.s009.t004 bn:00113583a
semeval2015.d003.s009.t005 bn:00047235n
semeval2015.d003.s009.t006 bn:00110996a
semeval2015.d003.s009.t007 bn:00027011n
semeval2015.d003.s009.t008 bn:00114246r
semeval2015.d003.s009.t009 bn:00082705v
semeval2015.d003.s009.t010 bn:00047235n
semeval2015.d003.s009.t011 bn:00027565n
semeval2015.d003.s009.t012 bn:00046787n
semeval2015.d003.s009.t013 bn:00046787n
semeval2015.d003.s009.t014 bn:00088425v
semeval2015.d003.s009.t015 bn:00052222n
semeval2015.d003.s010.t000 bn:00002178n
semeval2015.d003.s010.t001 bn:00088826v
semeval2015.d003.s010.t002 bn:00025419n
semeval2015.d003.s012.t000 bn:00083622v
semeval2015.d003.s012.t001 bn:00066514n
semeval2015.d003.s012.t002 bn:00082285v
semeval2015.d003.s012.t003 bn:00017184n
semeval2015.d003.s013.t000 bn:00082596v
semeval2015.d003.s014.t000 bn:00009055n
semeval2015.d003.s014.t001 bn:00074790n
semeval2015.d003.s014.t002 bn:00082225v
semeval2015.d003.s014.t003 bn:00049551n
semeval2015.d003.s014.t004 bn:00015267n
semeval2015.d003.s014.t005 bn:00061017n
semeval2015.d003.s014.t006 bn:00113583a
semeval2015.d003.s014.t007 bn:00110469a
semeval2015.d003.s014.t008 bn:00031903n
semeval2015.d003.s015.t000 bn:00009905n
semeval2015.d003.s015.t001 bn:00083245v
semeval2015.d003.s015.t002 bn:00074790n
semeval2015.d003.s016.t000 bn:00034520n
semeval2015.d003.s016.t001 bn:00074790n
semeval2015.d003.s016.t002 bn:00083245v
semeval2015.d003.s016.t003 bn:00116284r
semeval2015.d003.s016.t004 bn:00102038a
semeval2015.d003.s016.t005 bn:00062717n
semeval2015.d003.s016.t006 bn:00105886a
semeval2015.d003.s016.t007 bn:00027565n
semeval2015.d003.s016.t008 bn:00082813v
semeval2015.d003.s016.t009 bn:00015267n
semeval2015.d003.s016.t010 bn:00087863v
semeval2015.d003.s016.t011 bn:00054128n
semeval2015.d003.s016.t012 bn:00015267n
semeval2015.d003.s016.t013 bn:00087863v
semeval2015.d003.s016.t014 bn:00062717n
semeval2015.d003.s016.t015 bn:00047235n
semeval2015.d003.s016.t016 bn:00008467n
semeval2015.d003.s016.t017 bn:00027565n
semeval2015.d003.s017.t000 bn:00047235n
semeval2015.d003.s017.t001 bn:00027565n
semeval2015.d003.s017.t002 bn:00015267n
semeval2015.d003.s017.t003 bn:00083347v
semeval2015.d003.s017.t004 bn:00046787n
semeval2015.d003.s017.t005 bn:00027565n
semeval2015.d003.s017.t006 bn:00004222n
semeval2015.d003.s017.t007 bn:00116360r
semeval2015.d003.s017.t008 bn:00096153a
semeval2015.d003.s017.t009 bn:00052222n
semeval2015.d003.s017.t010 bn:00105231a
semeval2015.d003.s017.t011 bn:00052222n
semeval2015.d003.s017.t012 bn:00114171r
semeval2015.d003.s018.t000 bn:00035627n
semeval2015.d003.s018.t001 bn:00047235n
semeval2015.d003.s018.t002 bn:00059954n
semeval2015.d003.s018.t003 bn:00082365v
semeval2015.d003.s018.t004 bn:00052222n
semeval2015.d003.s018.t005 bn:00015267n
semeval2015.d003.s019.t000 bn:00114246r
semeval2015.d003.s019.t001 bn:00047235n
semeval2015.d003.s019.t002 bn:00027565n
semeval2015.d003.s019.t003 bn:00114234r
semeval2015.d003.s019.t004 bn:00114766r
semeval2015.d003.s019.t005 bn:00108011a
semeval2015.d003.s019.t006 bn:00111492a
semeval2015.d003.s019.t007 bn:00054018n
semeval2015.d003.s019.t008 bn:00108011a
semeval2015.d003.s019.t009 bn:00113583a
semeval2015.d003.s019.t010 bn:00076843n
semeval2015.d003.s019.t011 bn:00082336v
semeval2015.d003.s019.t012 bn:00095360v
semeval2015.d003.s019.t013 bn:00016850n
semeval2015.d003.s019.t014 bn:00027565n
semeval2015.d003.s020.t000 bn:00030747n
semeval2015.d003.s020.t001 bn:00082868v
semeval2015.d003.s021.t000 bn:00115495r
semeval2015.d003.s021.t001 bn:00115530r
semeval2015.d003.s021.t002 bn:00095008v
semeval2015.d003.s021.t003 bn:00082365v
semeval2015.d003.s021.t004 bn:00114917r
semeval2015.d003.s021.t005 bn:00028320n
semeval2015.d003.s021.t006 bn:00019848n
semeval2015.d003.s021.t007 bn:00082418v
semeval2015.d003.s021.t008 bn:00028320n
semeval2015.d003.s021.t009 bn:00101795a
semeval2015.d003.s021.t010 bn:00061605n
semeval2015.d003.s021.t011 bn:00019848n
semeval2015.d003.s021.t012 bn:00106517a
semeval2015.d003.s021.t013 bn:00022191n
semeval2015.d003.s021.t014 bn:00047235n
semeval2015.d003.s022.t000 bn:00042049n
semeval2015.d003.s022.t001 bn:00046516n
semeval2015.d003.s022.t002 bn:00088826v
semeval2015.d003.s022.t003 bn:00054128n
semeval2015.d003.s022.t004 bn:00085354v
semeval2015.d003.s022.t005 bn:00022113n
semeval2015.d003.s022.t006 bn:00004222n
semeval2015.d003.s023.t000 bn:00116360r
semeval2015.d003.s023.t001 bn:00083187v
semeval2015.d003.s023.t002 bn:00102398a
semeval2015.d003.s023.t003 bn:00030747n
semeval2015.d003.s023.t004 bn:00044382n
